,구,동,구분,단지명,세대수,사용검사일,주소,위도,경도,자동차수,충전기수
242,기흥구,서천동,분양,서그내마을 에스케이아파트,807,20020520.0,경기도 용인시 기흥구 예현로 15,37.3152573,127.1121144,887.7,18.0
243,기흥구,영덕동,임대,흥덕마을 휴먼시아 1단지(임대),1254,20090206.0,경기도 용인시 기흥구 흥덕1로79번길 7 ,37.320069000000004,127.1108656444493,1379.4,28.0
244,기흥구,중동 ,임대,초당마을 3단지 주공아파트,816,20060427.0,경기도 용인시 기흥구 동백중앙로 41 ,37.3152573,127.1121144,897.6,18.0
245,기흥구,보정동,분양,솔뫼마을 현대홈타운,382,20011220.0,경기도 용인시 기흥구 이현로30번길 7,37.3192694,127.1136331,420.20000000000005,9.0
246,기흥구,보정동,분양,연원마을 금호베스트빌,144,20020621.0,경기도 용인시 기흥구 용구대로 2442-2,37.3099023,127.1094087,158.4,4.0
247,기흥구,보정동,분양,연원마을 삼성명가타운아파트,424,20021213.0,경기도 용인시 기흥구 용구대로 2460,37.3152573,127.1121144,466.40000000000003,10.0
248,기흥구,보정동,분양,죽현마을 엘지자이,238,20040630.0,경기도 용인시 기흥구 보정로 88,37.3082398,127.1101066,261.8,6.0
249,기흥구,보정동,분양,죽전 누리에뜰(주상복합),200,20051230.0,경기도 용인시 기흥구 죽전로 20,37.30821,127.1118095,220.00000000000003,5.0
250,기흥구,보정동,분양,죽현마을 아이파크,1466,20040726.0,경기도 용인시 기흥구 보정로 87,37.3058748,127.1138625,1612.6000000000001,33.0
251,기흥구,보정동,분양,죽현마을 동원로얄듀크,706,20060427.0,경기도 용인시 기흥구 죽현로 12,37.3027329,127.1139839,776.6,16.0
252,기흥구,보정동,분양,신촌마을 현대포스홈타운 1단지,884,20040930.0,경기도 용인시 기흥구 용구대로2518번길 15,37.3017072,127.1095177,972.4000000000001,20.0
253,기흥구,보정동,분양,신촌마을 현대포스홈타운 2단지,423,20040930.0,경기도 용인시 기흥구 신촌로47번길 11,37.3393665,127.0940451,465.3,10.0
254,기흥구,보정동,분양,용인보정 꿈에그린아파트,379,20121030.0,경기도 용인시 기흥구 구교동로 17,37.2702781,127.0820446,416.90000000000003,9.0
255,기흥구,보정동,분양,연원마을 성원A,691,20001101.0,경기도 용인시 기흥구 연원로 49,37.2907983,127.1491694,760.1,16.0
256,기흥구,상갈동,분양,넥스빌아파트,142,19970626.0,경기도 용인시 기흥구 금화로108번길 21,37.2943364,127.1461213,156.20000000000002,4.0
257,기흥구,상갈동,분양,금화마을 주공그린빌5단지,681,20011016.0,경기도 용인시 기흥구 금화로82번길 17,37.2962509,127.1488303,749.1,15.0
258,기흥구,상갈동,분양,금화마을 대우현대아파트,664,20010620.0,경기도 용인시 기흥구 금화로82번길 14,37.2962509,127.1488303,730.4000000000001,15.0
259,수지구,동천동 ,분양,동문그린아파트,227,19981114.0,경기도 용인시 수지구 고기로45번길 58,37.2433786,127.0677362,249.70000000000002,5.0
260,수지구,동천동 ,분양,행림마을 진로아파트,269,20000411.0,경기도 용인시 수지구 고기로 11,37.2441747,127.0692172,295.90000000000003,6.0
261,수지구,동천동 ,분양,수지 풍림2차아파트,271,19981231.0,경기도 용인시 수지구 동천로 18,37.2768496,127.111252,298.1,6.0
262,기흥구,영덕동,임대,흥덕마을 12단지 신동아파밀리에,759,20091029.0,경기도 용인시 기흥구 흥덕3로 20 ,37.2849128,127.1470835,834.9000000000001,17.0
263,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 9단지,948,20080911.0,경기도 용인시 기흥구 구성로 392 ,37.2827063,127.1479847,1042.8000000000002,21.0
264,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 1단지,618,20080716.0,경기도 용인시 기흥구 구성2로 52 ,37.283354,127.1450797,679.8000000000001,14.0
265,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 2단지,389,20080603.0,경기도 용인시 기흥구 구성3로 37 ,37.2657819,127.0761335,427.90000000000003,9.0
266,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 5단지,712,20080603.0,경기도 용인시 기흥구 구성3로 38 ,37.249791,127.0870457,783.2,16.0
267,기흥구,서천동,분양,예현마을 현대홈타운,622,20021121.0,경기도 용인시 기흥구 예현로35번길 21,37.249791,127.0870457,684.2,14.0
268,기흥구,서천동,분양,서그내마을 서천아이파크,243,20090930.0,경기도 용인시 기흥구 서그내로16번길 14,37.2907983,127.1491694,267.3,6.0
269,기흥구,신갈동,분양,기흥 더샵 프라임뷰,612,20130903.0,경기도 용인시 기흥구 구갈로 71-18,37.2907983,127.1491694,673.2,14.0
270,기흥구,중동 ,분양,신동백서해그랑블1차아파트,236,20130726.0,경기도 용인시 기흥구 동백죽전대로527번길 81,37.2907983,127.1491694,259.6,6.0
271,기흥구,중동 ,분양,어정마을 롯데캐슬에코 2단지,868,20130620.0,경기도 용인시 기흥구 동백죽전대로527번길 67,37.2907983,127.1491694,954.8000000000001,20.0
272,기흥구,중동 ,분양,어정마을 롯데캐슬에코 1단지,1902,20130620.0,경기도 용인시 기흥구 동백죽전대로527번길 80,37.2997031,127.1503097,2092.2000000000003,42.0
273,기흥구,영덕동,분양,용인 청명 센트레빌,233,20130604.0,경기도 용인시 기흥구 영통로525번길 35,37.2878502,127.14077,256.3,6.0
274,기흥구,하갈동,분양,청명호수마을 신안인스빌1단지,829,20090608.0,경기도 용인시 기흥구 덕영대로 1871,37.2687093,127.1574487,911.9000000000001,19.0
275,기흥구,청덕동,분양,물푸레마을 용인구성호반베르디움,308,20080626.0,경기도 용인시 기흥구 구성로 411,37.2724036,127.155465,338.8,7.0
276,기흥구,청덕동,분양,구성 물푸레마을 휴먼시아 7단지,398,20090727.0,경기도 용인시 기흥구 구성로 395,37.2687093,127.1574487,437.8,9.0
277,기흥구,청덕동,분양,구성 물푸레마을 휴먼시아 6단지,367,20090727.0,경기도 용인시 기흥구 구성로 475,37.2767167,127.1574469,403.70000000000005,9.0
278,기흥구,청덕동,분양, 물푸레마을 4단지 경남아너스빌 ,240,20080618.0,경기도 용인시 기흥구 구성로 470,37.2907983,127.1491694,264.0,6.0
279,기흥구,청덕동,분양,구성 물푸레마을 휴먼시아 3단지,988,20081007.0,경기도 용인시 기흥구 구성3로 65,37.2778634,127.07877648618691,1086.8000000000002,22.0
280,기흥구,청덕동,분양,청덕마을 광도와이드빌아파트,476,20030808.0,경기도 용인시 기흥구 언동로71번길 64,37.2766283,127.1515743,523.6,11.0
281,기흥구,지곡동,분양,자봉마을 써니밸리아파트,1092,20041105.0,경기도 용인시 기흥구 사은로 274-22,37.2746338,127.1560631,1201.2,25.0
282,기흥구,중동 ,분양,어은목마을 대원칸타빌,432,20060419.0,경기도 용인시 기흥구 동백2로 37 ,37.2724036,127.155465,475.20000000000005,10.0
283,기흥구,중동 ,분양,어은목마을 한라비발디,248,20060227.0,경기도 용인시 기흥구 동백4로 72,37.2724036,127.155465,272.8,6.0
284,기흥구,중동 ,분양,성산마을 카운티스,96,20061026.0,경기도 용인시 기흥구 동백2로 108,37.2724036,127.155465,105.60000000000001,3.0
285,기흥구,중동 ,분양,백현마을 상록롯데캐슬,295,20070206.0,경기도 용인시 기흥구 동백5로 79,37.3068791,127.1307873,324.5,7.0
286,기흥구,언남동,분양,유원 휴 하임,149,20131017.0,경기도 용인시 기흥구 구성로 109,37.2900639,127.1339697,163.9,4.0
287,기흥구,영덕동,분양,흥덕마을8단지 한국아델리움아파트,474,20100806.0,경기도 용인시 기흥구 흥덕2로118번길 25,37.2687093,127.1574487,521.4000000000001,11.0
288,기흥구,중동 ,분양,성산마을 신영지웰,590,20060831.0,경기도 용인시 기흥구 동백5로 41,37.2687093,127.1574487,649.0,13.0
289,기흥구,중동 ,분양,성산마을 남광하우스토리,134,20071116.0,경기도 용인시 기흥구 동백5로 62,37.2642753,127.1586514,147.4,3.0
290,기흥구,중동 ,분양,성산마을 서해그랑블,564,20060427.0,경기도 용인시 기흥구 동백4로 26,37.2398673,127.0689493,620.4000000000001,13.0
291,기흥구,중동 ,분양,참솔마을 월드메르디앙,966,20060228.0,경기도 용인시 기흥구 동백죽전대로 283 ,37.2352614,127.0754885,1062.6000000000001,22.0
292,기흥구,중동 ,분양,어정마을 서희삼정아파트,390,20030517.0,경기도 용인시 기흥구 언동로 193-26,37.2769627,127.0711334,429.00000000000006,9.0
293,기흥구,중동 ,분양,어은목마을 코아루아파트,533,20060329.0,경기도 용인시 기흥구 동백2로 11,37.2781445,127.0726132,586.3000000000001,12.0
294,기흥구,중동 ,분양,어은목마을 코아루아파트,592,20060329.0,경기도 용인시 기흥구 동백2로 12,37.2717225,127.0736214,651.2,14.0
295,기흥구,중동 ,분양,초당마을 코아루아파트,289,20060329.0,경기도 용인시 기흥구 동백1로 9,37.2781443,127.0741353,317.90000000000003,7.0
296,기흥구,중동 ,분양,초당마을 코아루아파트,279,20060329.0,경기도 용인시 기흥구 동백1로 12,37.2674744,127.1567299,306.90000000000003,7.0
297,기흥구,중동 ,분양,초당마을 현진에버빌,320,20060227.0,경기도 용인시 기흥구 동백중앙로 73,37.277388,127.0790011,352.0,8.0
298,기흥구,서천동,분양,서천마을 1단지,826,20121217.0,경기도 용인시 기흥구 서천서로 27,37.2879802,127.116244,908.6,19.0
299,기흥구,서천동,분양,서천마을 4단지,556,20121217.0,경기도 용인시 기흥구 서천동로 60,37.2879802,127.116244,611.6,13.0
300,기흥구,영덕동,분양,흥덕마을 자연앤스위첸,502,20090813.0,경기도 용인시 기흥구 흥덕2로117번길 14,37.2892064,127.1131988,552.2,12.0
301,기흥구,영덕동,분양,흥덕마을 힐스테이트,570,20100819.0,경기도 용인시 기흥구 흥덕2로 126,37.2892064,127.1131988,627.0,13.0
302,기흥구,영덕동,분양,흥덕마을 이던하우스,486,20090514.0,경기도 용인시 기흥구 흥덕2로118번길 26,37.274531,127.0996713,534.6,11.0
303,기흥구,중동 ,분양,백현마을 동일하이빌,743,20060321.0,경기도 용인시 기흥구 동백중앙로 312,37.2796078,127.1080689,817.3000000000001,17.0
304,기흥구,영덕동,분양,흥덕마을동원로얄듀크,720,20100729.0,경기도 용인시 기흥구 흥덕중앙로105번길 24,37.27605975,127.10608712519522,792.0000000000001,16.0
305,기흥구,신갈동,분양,녹원마을 새천년그린빌 5단지,915,20040823.0,경기도 용인시 기흥구 기흥로116번길 60,37.2879802,127.116244,1006.5000000000001,21.0
306,기흥구,신갈동,분양,산양마을 푸르지오아파트,346,20040730.0,경기도 용인시 기흥구 기흥로116번길 77,37.2768496,127.111252,380.6,8.0
307,기흥구,신갈동,분양,녹원마을 새천년 그린빌 2단지아파트,238,20040617.0,경기도 용인시 기흥구 새천년로 27,37.2825862,127.1132466,261.8,6.0
308,기흥구,신갈동,분양,새릉골마을 풍림아파트,340,20010317.0,경기도 용인시 기흥구 기흥로116번길 7,37.2796078,127.1080689,374.00000000000006,8.0
309,기흥구,신갈동,분양,갈현마을 현대홈타운,584,20010621.0,경기도 용인시 기흥구 관곡로 16,37.2931772,127.12849493462818,642.4000000000001,13.0
310,기흥구,신갈동,분양,양현마을 풍림 신안아파트,776,20010523.0,경기도 용인시 기흥구 산양로 17,37.277388,127.0790011,853.6,18.0
311,기흥구,신갈동,분양,인성마을 신갈현대아파트,293,19970604.0,경기도 용인시 기흥구 용구대로 2242,37.277388,127.0790011,322.3,7.0
312,기흥구,신갈동,분양,신미주아파트,247,19950224.0,경기도 용인시 기흥구 신갈로138번길 12,37.2667361,127.0945468,271.70000000000005,6.0
